category,question,answer,url
Sending money basics,How do I send money with Wise?,"To send money with Wise, you’ll first need to sign up. We’ll ask for your email address, and you’ll create a password.We’ll also need to verify you before you are able to send money. Check what information we need and how long verification takes here.How to send money with Wise1. Go to SendFrom the Home screen, select Send.2. Choose or add a recipientYou can either search for one of your existing recipients, or add a new one.New recipient Choose Add a recipient Select their currencyYou can then either search by their @Wisetag, email, or phone, or add their bank detailsEnter the details into the fields3. Enter how much you’d like to transferSelect either the amount you’d like to send, or exactly how much you’d like your recipient to get, and chose the currency. If you choose how much you send, the fees are added to that amount. If you choose how much your recipient gets, we'll show you how much you have to send including the fees.You can choose to schedule this transfer by clicking the calendar icon next to Continue.4. Choose how to payThe confirmation screen lets you check the details — your money isn't sent at this point.There are multiple ways you can pay for your transfer. We’ll let you know the fees for each option, and how long it should take for the money to arrive.It’s often cheapest to pay from your bank account. This means you’ll have to go to your online banking or your branch and send the money to Wise from there.5. ReviewMake sure everything looks correct. If there's a mistake in the details, your transfer might get sent back. Then Continue and Send. 6. That’s it!After we’ve received your money, we’ll confirm the transfer via email or in the app. And we’ll also let you and your recipient know when the money’s on its way.Your payments will appear under Transactions on the home screen, and you can even change the category from a drop-down list right under the amount, to keep your payments organised.",https://wise.com/help/articles/2977959/how-do-i-send-money-with-wise
Sending money basics,How do you notify me about a transfer?,"We’ll send you an email when we’ve received your money, and when we’ve paid your transfer out. This doesn’t mean it’s reached your recipient yet.If there’s an issue with your transfer, we’ll also send you an email. So, make sure you keep an eye on that when you set up a transfer. If you don’t get an email, check your spam or junk folder in case it’s been sent there.Most contact will come via email, but we might get in touch by phone if needed.",https://wise.com/help/articles/2553293/how-do-you-notify-me-about-a-transfer
Sending money basics,Can I send exact amounts?,"When sending money, you can choose the amount you send and the amount your recipient gets.Sending an exact amount in a different currencyEnter how much your recipient getsEnter how much your recipient gets in their currency. When you enter an amount, you’ll see the input label ‘Your recipient gets exactly’.We automatically update the amount in ‘You send’, including fees and taxes, to cover how much you need to convert so that your recipient gets that amount.Pay within the guaranteed rate periodWe’ll show you when we guarantee the exchange rate. If you’re not paying instantly, we'll show you how long we guarantee the rate for. As long as you pay within the guaranteed rate period, we convert your money at that rate and send the exact amount. Some payment methods like debit or credit card take seconds. Others, such as bank transfers, take longer which means you need to pay before the guaranteed rate expires to send the exact amount.If you can open a Wise balance, you can choose to pay using your balance. This means we can take the exact amount from your balance even if we can’t guarantee the exchange rate. You just need enough money in your balance to cover the transfer amount.Send an exact amount in your currencyEnter how much you want to sendEnter how much you want to send in your currency. When you enter an amount, you’ll see the input label ‘You send exactly’.We automatically update the amount in ‘Your recipient gets’ to show you how much your recipient gets in their currency after fees and taxes.Pay the fees on topIf you have a Wise business account, you will see the amount that we convert under ‘You send’ when sending money through our website. You can adjust how much you send until you get the exact amount to convert for your recipient. The fees and taxes needed for the transfer will be included in the ‘You send’ amount.Check the latest fees and pricing for your region",https://wise.com/help/articles/2448314/can-i-send-exact-amounts
Sending money basics,How long does a transfer usually take?,"Every transfer will take a different amount of time depending on a few things. We always move your money as quickly as possible, but the speed will be affected by things like the currency you’re sending to and from, how you pay for it, and banking hours. To get a general estimate, you can put some currency details into our transfer calculator while logged in and it’ll show you how long it might take.When you actually set up your transfer on Wise, your estimate will likely change — this is because the more information we have about your transfer, the more accurately we can tell you how long it’ll take. Here are some things that can affect how long your transfer takes.ConversionWhatever currency you’re sending, converting your money can always take up to 2 working days. The countries you’re sending to and from Every currency and country is different. How quickly your transfer arrives to your recipient depends on how quickly your recipient’s bank can process the payment, as well as the ways you paid in the country you’re sending from. After the payment has been sent out of Wise, we can't confirm when the money has reached your recipient's bank, so you’ll need to ask your recipient directly.How you payThe way you pay for your transfer can also affect the speed of your transfer. Some payment methods are quicker than others. For instance, card payments are normally instant, while bank transfers can take longer, especially if you’re paying by Swift. We'll show you how long each payment method takes when you set up your transfer.Public holidays and banking hours We can only move your money during normal banking hours. So if you send money outside of those hours, it may take longer than usual. National holidays can also affect the transfer speed, so if you’re sending to a different country, make sure to check that it doesn’t fall on a holiday.Security checks As a regulated institution, we also need to make sure we run regular security checks on our customers and their payments. We might need to verify things like your ID, address, or where you got the money from, when you make a transfer. These additional checks can add extra time to your transfer.You can't speed this up, and we'll get in touch if we need anything from you, but you can always check the status of your transfer from the web or app.",https://wise.com/help/articles/2524078/how-long-does-a-transfer-usually-take
Sending money basics,How do I download a transfer receipt?,"Once your transfer is complete, you can download a receipt. The transfer might show up on your recipient’s Wise account — but only you can download the receipt. If you are the recipient of the transfer and need the receipt, we recommend you get in touch with the sender who can forward it to you. The receipt serves as a confirmation of your transfer and includes details like the transfer number and banking partner reference. And when you send certain currencies, it’ll also include a unique tracking number.WebGo to HomeFind the transfer, and click on it — then choose the 3 dots on the right sideSelect Get PDF receiptThat’s it — the receipt will open up in a new tab as a PDF. You can save it to your computer and share.AppGo to HomeSelect the transfer Tap on DetailsSelect Get PDF receipt (on the iOS app) or Download transfer receipt (on the Android app)That’s it — the receipt will open up in a new tab as a PDF. You can save it straightaway or share it with your recipient.Downloading transfer receipts in your preferred languageFrom web – click your name in the top right > Select Language and appearance > Language and then change the language for your Wise account. iOS app – change account language settings in your phone's settings (not Wise's)Android: changing the language on transfer receipts isn't supported at this time, but you can change the language in your phone settings Learn how to change the language on your account After choosing your preferred language you can follow the steps to download the receipt and it will open up in a new tab as a PDF. You can save it straightaway or share it with your recipient.Businesses will have their registered address shown on the transfer receipt.",https://wise.com/help/articles/2977946/how-do-i-download-a-transfer-receipt
Sending money basics,Can I send from someone else's bank account?,"In most cases, no — the name on the bank account you’re sending from has to match the name on your Wise account. But there are two exceptions:You can send money from joint bank accountsYou can send money from a joint bank account as long as you’re named on the account, and that name matches the name on your Wise account.Tip: We’ll ask you to enter the name of the other bank account holder when you set up your transfer. This helps us identify that your money’s coming from a joint account. You can send money from a business you represent using Wise Business You can send money from a business bank account on behalf of a business you represent. But you need to have a Wise Business account. The name on the business bank account you’re using has to match the business registered with Wise Business.Tip: Get started with Wise Business to send money from a business. If someone else has already paid for a transfer using your Wise account, you’ll need to cancel the transferUnfortunately, we won’t be able to process this money, so we’ll pause your transfer. Please cancel the transfer yourself, and we’ll refund the money back to the sender’s bank account. Tip: Learn how long a refund takes",https://wise.com/help/articles/2977990/can-i-send-from-someone-elses-bank-account
Sending money basics,Can I send from a joint bank account?,"Yes. As long as:you’re one of the account holdersyour name on the account matches the name on your Wise account. Tip: We’ll ask you to enter the name of the other bank account holder when you set up your transfer. This helps us identify that your money’s coming from a joint account.Do I need to prove that a joint bank account is in my name?Ordinarily, no. But banks sometimes send us the names on joint accounts incorrectly. If this happens, we’ll email you and ask for a proof of joint account document. Your transfer will be paused until we’ve received and approved that document. We’ll normally check it within 2 working days of receiving it from you.Tip: A proof of joint account document is either a screenshot or PDF of your joint bank statement, clearly showing your name, the bank’s name, and the account number.Learn more about verifying your joint account",https://wise.com/help/articles/2977993/can-i-send-from-a-joint-bank-account
Sending money basics,Sending with Swift,"If you're sending a payment in a currency that's different from your recipient's bank's currency, you'll need to send it by Swift. An example is if you're sending USD to a country outside of the US. Swift payments, also called international wires, are a type of international transfer sent with the Swift international payment network. The Swift international payment network is one of the largest financial messaging systems in the world. Wise can send or receive certain currencies via Swift payment.Find out how to send to recipients with Swift, what the fees are, and how long it can take.When do you use Swift?We pay out via Swift when you send:USD to countries outside the USGBP to countries outside the UKMore than 1 million JPY to any countryEUR to banks that are not part of SEPA and countries outside of SEPAWhat do I need to know when sending with Swift?Here's a few things that can help make your transfer experience smoother.Use an IBANWhen sending out a Swift payment, always use an IBAN when possible. You can use our IBAN checker to see if a country supports IBAN numbers and what its structure means.Daily cumulative limitIf your profile address is in Australia, Japan or United States, there's a daily cumulative limit of 5 million GBP — or equivalent in your country. It means you can send up to 5 million GBP or equivalent to different Swift recipients in different currencies within one day. If your address is outside of these three regions, then regular Swift transaction-based limits apply.Existing recipientIf you've sent a Swift payment to a recipient in the past, you can select them from the available recipients list when setting up your payment.New recipientFirst, always ask your recipient to double-check the details they're giving you are correct before you use them.Our system then uses recipient validation to check that the details are valid and comply with Swift rules. When you start setting up the payment, the system checks the name, address, bank account number, and the Swift or BIC number of your recipient. This helps us prevent rejected transfers or delays with your payments and give you a better Swift experience.Inputting details correctlyIt's easy to type information into the wrong field. But this can lead to errors and delays. For example, in the account number field, only input the account number — not any additional details, like your recipient's name or Swift code.Make sure you don't use any spaces or separators in the number.What are the fees for Swift payments?We’ll charge you to send out a Swift payment — check our pricing page on the latest fees for your region.When the money is in transit, correspondent banks in between may also deduct their own handling fees. We can't control what extra costs other banks apply.Learn more about correspondent bank feesHow long can a Swift transfer take?Swift payments usually take 1–6 working days to reach their destination, but it's possible they can take longer due to time differences between the sending and receiving country, or multiple intermediary banks involved with delivering your money to us.My recipient's account details didn't workIf the system spots incorrect details, it'll prompt you to review them before continuing with the payment.There are some unique account numbers that sometimes don't work with our system. If you're sure it's a valid number — contact us with a proof of account from your recipient. We'll try to create a custom rule for your situation. A proof of account validity can be an invoice or statement from the recipient's bank that shows the bank account number.*The speed of your transfers always depends on individual circumstances, and may not be available for all transactions",https://wise.com/help/articles/5Fwvk7KFzbTBohJiUu0Ryd/sending-with-swift
Sending money basics,Do I need to pay any tax on transfers?,"Wise may have to levy tax on its transfer fee according to local tax laws. For example, Brazilian real (BRL) transactions where IOF (Imposto sobre Operações Financeiras — financial operations tax) may be imposed by our banking partner(s). Where transactional taxes apply, these will either be included in the fee payable or shown separately at the time of payment, and won’t impact the amount sent to the recipient.Wise will pay out the agreed amount to the recipient and won’t withhold any taxes on money you transfer. Depending on the nature of a transfer, you and/or the recipient may need to declare and pay tax. Wise can’t advise whether tax applies to your transfer and we recommend that you ask a financial advisor and/or the relevant tax authority.",https://wise.com/help/articles/2565007/do-i-need-to-pay-any-tax-on-transfers
Sending money basics,How can I repeat a transfer?,"If you’ve made a transfer before and want to repeat it, you can do this automatically from 3 different places:When you are logged in to Wise, click on the transfer you wish to repeat. Then choose Repeat transfer. You’ll have a chance to review all the details before you confirm the transfer and payFrom the transfer page of a completed transfer. Click Repeat this transfer in the top right-hand cornerFrom a payment confirmation page. You can access the transfer status page from the link in the email we send you when a transfer has been completed. Just click Repeat this transfer in the top right-hand corner when you reach the transfer status pageThis will create a transfer with exactly the same details as your previous transfer, except with the current mid-market exchange rate.",https://wise.com/help/articles/2491525/how-can-i-repeat-a-transfer
